id,type,name,weight,volume
fert_supplement,ITEM,fert_supplement,1 g,10 ml
chem_sulphur,ITEM,chem_sulphur,320 mg,16 ml
chunk_sulfur,ITEM,chunk of sulfur,500 g,250 ml
graphite,ITEM,graphite,40 mg,6 ml
chunk_graphite,ITEM,chunk of graphite,550 g,250 ml
chunk_caco3,ITEM,calcite crystal,678 g,250 ml
chem_borax,ITEM,chem_borax,3810 mg,1100 ml
chunk_borax,ITEM,crystal of borax,425 g,250 ml
flux_ash,ITEM,flux_ash,6 g,7 ml
chunk_feldspar,ITEM,chunk of feldspar,640 g,250 ml
material_cement,ITEM,material_cement,7200 mg,5 ml
material_gravel,ITEM,material_gravel,8 g,5 ml
shredded_rubber,ITEM,shredded_rubber,6 g,250 ml
material_limestone,ITEM,material_limestone,14 g,250 ml
material_quicklime,ITEM,material_quicklime,16700 mg,5 ml
chem_slaked_lime,ITEM,chem_slaked_lime,2211 mg,250 ml
material_sand,ITEM,material_sand,8 g,5 ml
material_soil,ITEM,material_soil,6500 g,5 L
material_shrd_limestone,ITEM,limestone shard,2700 g,1 L
material_rocksalt,ITEM,material_rocksalt,650 g,3500 ml
material_rhodonite,ITEM,material_rhodonite,915 g,250 ml
material_zincite,ITEM,material_zincite,1412 g,250 ml
bleach,ITEM,bleach,138 g,250 ml
ammonia_liquid,ITEM,ammonia_liquid,124 g,250 ml
ammonia_hydroxide,ITEM,ammonia_hydroxide,124 g,250 ml
fertilizer_liquid,ITEM,fertilizer_liquid,67 g,250 ml
fermentable_liquid_mixture,ITEM,fermentable_liquid_mixture,500 g,500 ml
fermentable_fish_mixture_active,ITEM,fermentable_fish_mixture_active,,
fermented_fertilizer_liquid,ITEM,fermented_fertilizer_liquid,400 g,500 ml
fertilizer_commercial,ITEM,fertilizer_commercial,27 g,33 ml
fungicide,ITEM,fungicide,1 g,1 ml
insecticide,ITEM,insecticide,50 g,50 ml
salt_water,ITEM,salt_water,260 g,250 ml
soapy_water,ITEM,soapy_water,260 g,250 ml
chem_aluminium_powder,ITEM,chem_aluminium_powder,1760 mg,250 ml
chem_nickel_powder,ITEM,chem_nickel_powder,36 mg,1 ml
chem_zinc_powder,ITEM,chem_zinc_powder,654 mg,9 ml
chem_zinc_oxide,ITEM,chem_zinc_oxide,814 mg,15 ml
chem_manganese_dioxide,ITEM,chem_manganese_dioxide,869 mg,17 ml
cathod_mix,ITEM,cathod_mix,500 mg,151 ml
chem_ferric_chloride,ITEM,chem_ferric_chloride,2900 mg,250 ml
chem_antimony_trichloride,ITEM,chem_antimony_trichloride,3140 mg,250 ml
chem_potassium_chloride,ITEM,chem_potassium_chloride,746 mg,38 ml
chem_potassium_hydroxide,ITEM,chem_potassium_hydroxide,561 mg,26 ml
chem_sulphuric_acid,ITEM,chem_sulphuric_acid,455 g,250 ml
chem_muriatic_acid,ITEM,chem_muriatic_acid,202 g,250 ml
chem_acetone,ITEM,chem_acetone,190 g,250 ml
chem_nitric_acid,ITEM,chem_nitric_acid,375 g,250 ml
chem_chromium_oxide,ITEM,chem_chromium_oxide,1520 mg,29 ml
cac2powder,ITEM,cac2powder,961 mg,50 ml
chem_carbide,ITEM,chem_carbide,641 mg,29 ml
chem_caco3,ITEM,chem_caco3,783 mg,29 ml
chem_hexamine,ITEM,chem_hexamine,1330 mg,200 ml
chem_hydrogen_peroxide_conc,ITEM,chem_hydrogen_peroxide_conc,325 g,250 ml
plutonium,ITEM,plutonium,990 g,50 ml
uranium,ITEM,uranium,953 g,50 ml
chem_ammonium_nitrate,ITEM,chem_ammonium_nitrate,1 g,290 ml
chem_ammonium_nitrate_pellets,ITEM,chem_ammonium_nitrate_pellets,1 g,625 ml
chem_saltpetre,ITEM,chem_saltpetre,5275 mg,250 ml
material_niter,ITEM,material_niter,790 g,1250 ml
chem_aluminium_sulphate,ITEM,chem_aluminium_sulphate,13350 mg,250 ml
chem_acetic_acid,ITEM,chem_acetic_acid,262 g,250 ml
chem_formaldehyde,ITEM,chem_formaldehyde,300 g,250 ml
chem_thermite,ITEM,chem_thermite,10 g,250 ml
chem_anfo,ITEM,chem_anfo,1 g,294 ml
chem_black_powder,ITEM,chem_black_powder,151 mg,89 ml
chem_rdx,ITEM,chem_rdx,1 g,270 ml
